Year,Temp,Drought,Flood,Fire,Hurricane,Tornado
1953,49.2,0,5,1,0,6
1954,48.9,0,7,0,7,1
1955,47.3,0,8,0,7,1
1956,47.7,0,7,1,2,2
1957,48.4,0,10,0,2,3
1958,48.1,0,5,0,1,1
1959,47.9,0,6,0,1,0
1960,47.6,0,3,1,2,1
1961,47.6,0,10,1,1,0
1962,48.1,0,17,0,0,0
1963,48.3,1,15,0,1,0
1964,47.3,2,126,0,4,0
1965,47.6,51,198,0,56,112
1966,47.3,0,113,0,0,2
1967,48,0,121,10,29,36
1968,47.4,0,76,0,14,50
1969,47.8,0,394,0,64,46
1970,47.6,0,180,6,7,11
1971,47.2,0,108,0,21,34
1972,47.2,0,486,0,0,0
1973,48.1,0,580,1,0,43
1974,47.9,31,386,0,10,187
1975,47.2,0,377,1,0,22
1976,47.6,388,123,0,3,6
1977,48.7,618,144,1,0,7
1978,47.8,0,181,1,0,24
1979,47.4,0,210,0,107,51
1980,48.4,21,74,4,12,15
1981,49.5,0,33,2,0,0
1982,47.4,0,76,1,0,18
1983,48,0,101,0,9,0
1984,47.9,0,131,0,9,73
1985,47.5,0,207,6,73,17
1986,49.2,0,280,0,0,3
1987,49.3,0,105,1,5,23
1988,48.7,0,6,5,3,34
1989,48,0,205,0,113,31
1990,49.1,0,190,4,5,3
1991,49.1,0,302,7,41,12
1992,48.3,2,153,3,46,46
1993,48,149,496,6,1,50
1994,48.7,0,70,0,0,67
1995,48.8,0,76,0,127,66
1996,47.8,0,418,72,240,0
1997,48.5,0,279,0,0,29
1998,50.3,28,159,71,261,27
1999,49.2,0,61,368,526,29
2000,49.4,0,36,259,0,21
2001,49.6,0,176,182,0,0
2002,49.7,0,78,143,73,90
2003,49.6,0,0,63,206,15
2004,49.4,0,5,51,647,0
2005,49.8,0,11,46,3714,3
2006,50,0,12,431,0,0
2007,49.7,1,4,97,32,0
2008,48.1,0,33,308,578,0
2009,48.4,0,33,66,2,5
2010,49.1,0,195,18,89,16
2011,49.2,0,467,334,539,2
2012,50.5,0,18,38,733,0
2013,52.3,0,234,4,20,36
